 weather forecast and its components  
 date  time  utc_time  time_in_h  file  systematic_a random_a forecast 
 2020-04-21 16:56:26.939595  1587488186.939595  0.25305555555555553  -1.0481666666666456  -0.3080516731545754  0.4433627732416322  -0.9128555665795888 
 2020-04-21 17:11:26.939595  1587489086.939595  0.5030555555555556  -0.8981666666666115  -0.4343337810179325  0.744073925585005  -0.588426522099539 
 2020-04-21 17:26:26.939595  1587489986.939595  0.7530555555555556  -0.7481666666666342  -0.53140928984478  0.9724883878298967  -0.30708756868151754 
 2020-04-21 17:41:26.939595  1587490886.939595  1.0030555555555556  -0.5990833333333399  -0.6133072911137886  0.03317127479341697  -1.1792193496537116 
 2020-04-21 17:56:26.939595  1587491786.939595  1.2530555555555556  -0.5240833333333512  -0.685489484480494  0.31191769445405115  -0.897655123359794 
 2020-04-21 18:11:26.939595  1587492686.939595  1.5030555555555556  -0.4490833333333626  -0.7507635002671169  0.5896376723941815  -0.610209161206298 
 2020-04-21 18:26:26.939595  1587493586.939595  1.7530555555555556  -0.37408333333334554  -0.8107995025487702  0.7578288851667243  -0.42705395071539143 
 2020-04-21 18:41:26.939595  1587494486.939595  2.0030555555555556  -0.2993888888888989  -0.8666866984864445  0.6416460730770095  -0.524429514298334 
 2020-04-21 18:56:26.939595  1587495386.939595  2.2530555555555556  -0.24938888888888755  -0.91918215459904  0.212225990673641  -0.9563450528142865 
 2020-04-21 19:11:26.939595  1587496286.939595  2.5030555555555556  -0.1993888888889046  -0.968837361652271  0.9272042515474276  -0.241021998993748 
 2020-04-21 19:26:26.939595  1587497186.939595  2.7530555555555556  -0.14938888888889323  -1.0160688132864493  0.7488348703279167  -0.41662283184742577 
 2020-04-21 19:41:26.939595  1587498086.939595  3.0030555555555556  -0.1012222222221908  -1.0612001853247734  0.7484341585128781  -0.41398824903408615 
 2020-04-21 19:56:26.939595  1587498986.939595  3.2530555555555556  -0.20122222222221353  -1.1044889466777534  0.7457242870616994  -0.5599868818382676 
 2020-04-21 20:11:26.939595  1587499886.939595  3.5030555555555556  -0.3012222222221794  -1.1461438973066749  0.2933985172796715  -1.1539676022491827 
 2020-04-21 20:26:26.939595  1587500786.939595  3.7530555555555556  -0.40122222222220216  -1.186337149942348  0.3936783964922921  -1.1938809756722581 
 2020-04-21 20:41:26.939595  1587501686.939595  4.003055555555555  -0.5006111111111125  -1.2252125665913378  0.2403981502567587  -1.4854255274456916 
 2020-04-21 20:56:26.939595  1587502586.939595  4.253055555555555  -0.5506111111111238  -1.2628918533799056  0.6298385941424492  -1.18366437034858 
 2020-04-21 21:11:26.939595  1587503486.939595  4.503055555555555  -0.6006111111111352  -1.2994790622912449  0.1589255075598459  -1.7411646658425342 
 2020-04-21 21:26:26.939595  1587504386.939595  4.753055555555555  -0.6506111111111181  -1.3350639809886764  0.144190833790669  -1.8414842583091255 
 2020-04-21 21:41:26.939595  1587505286.939595  5.003055555555555  -0.6993888888889046  -1.3697247290362153  0.8704376113401903  -1.1986760065849298 
 2020-04-21 21:56:26.939595  1587506186.939595  5.253055555555555  -0.6493888888889217  -1.4035297764327386  0.09444043501431953  -1.9584782303073407 
 2020-04-21 22:11:26.939595  1587507086.939595  5.503055555555555  -0.5993888888889103  -1.4365395342047964  0.512943543717255  -1.5229848793764518 
 2020-04-21 22:26:26.939595  1587507986.939595  5.753055555555555  -0.5493888888888989  -1.4688076229831233  0.10362702128319223  -1.91456949058883 
 2020-04-21 22:41:26.939595  1587508886.939595  6.003055555555555  -0.5  -1.5003818958296362  0.4743851955474183  -1.525996700282218 
 2020-04-21 22:56:26.939595  1587509786.939595  6.253055555555555  -0.5  -1.5313052711113264  0.34307317771022827  -1.6882320934010981 
 2020-04-21 23:11:26.939595  1587510686.939595  6.503055555555555  -0.5  -1.5616164168365203  0.5232117144020829  -1.5384047024344374 
 2020-04-21 23:26:26.939595  1587511586.939595  6.753055555555555  -0.5  -1.5913503176024233  0.6900235721093971  -1.401326745493026 
 2020-04-21 23:41:26.939595  1587512486.939595  7.003055555555555  -0.4984722222222331  -1.6205387478654538  0.4049385060090529  -1.714072464078634 
 2020-04-21 23:56:26.939595  1587513386.939595  7.253055555555555  -0.3734722222222331  -1.6492106697851956  0.8549187461546349  -1.1677641458527939 
 2020-04-22 00:11:26.939595  1587514286.939595  7.503055555555555  -0.24847222222223309  -1.6773925698337084  0.6771606804862969  -1.2487041115696447 
 2020-04-22 00:26:26.939595  1587515186.939595  7.753055555555555  -0.12347222222223309  -1.7051087453102025  0.4576349481188746  -1.370946019413561 
 2020-04-22 00:41:26.939595  1587516086.939595  8.003055555555555  0.0009166666666544643  -1.7323815495823467  0.9945918317480983  -0.7368730511675939 
 2020-04-22 00:56:26.939595  1587516986.939595  8.253055555555555  0.0759166666666431  -1.7592316030964579  0.4254114666213904  -1.2579034698084244 
 2020-04-22 01:11:26.939595  1587517886.939595  8.503055555555555  0.15091666666666015  -1.7856779758213217  0.49479624702805935  -1.1399650621266022 
 2020-04-22 01:26:26.939595  1587518786.939595  8.753055555555555  0.22591666666664878  -1.8117383457147813  0.9463565296949872  -0.6394651493531454 
 2020-04-22 01:41:26.939595  1587519686.939595  9.003055555555555  0.30122222222223627  -1.8374291369555813  0.10460393371491183  -1.4316029810184332 
 2020-04-22 01:56:26.939595  1587520586.939595  9.253055555555555  0.401222222222259  -1.8627656410115936  0.5899844021058969  -0.8715590166834377 
 2020-04-22 02:11:26.939595  1587521486.939595  9.503055555555555  0.5012222222222249  -1.8877621230794235  0.7012392315798781  -0.6853006692773205 
 2020-04-22 02:26:26.939595  1587522386.939595  9.753055555555555  0.6012222222222476  -1.9124319159994516  0.6772892156138983  -0.6339204781633057 
 2020-04-22 02:41:26.939595  1587523286.939595  10.003055555555555  0.6996944444444466  -1.9367875034017885  0.662597515156742  -0.5744955438005999 
 2020-04-22 02:56:26.939595  1587524186.939595  10.253055555555555  0.6746944444444551  -1.9608405935550532  0.3058470737883128  -0.9802990753222853 
 2020-04-22 03:11:26.939595  1587525086.939595  10.503055555555555  0.6496944444444495  -1.9846021851578552  0.7718597647248089  -0.5630479759885969 
 2020-04-22 03:26:26.939595  1587525986.939595  10.753055555555555  0.6246944444444438  -2.008082626122076  0.39792856539202237  -0.9854596162856097 
 2020-04-22 03:41:26.939595  1587526886.939595  11.003055555555555  0.5966388888889469  -2.031291666239325  0.9507415821295107  -0.48391119522086745 
 2020-04-22 03:56:26.939595  1587527786.939595  11.253055555555555  0.32163888888885594  -2.054238504490979  0.3421303476023665  -1.3904692679997566 
 2020-04-22 04:11:26.939595  1587528686.939595  11.503055555555555  0.04663888888887868  -2.0769318316529635  0.6083126910956183  -1.4219802516684665 
 2020-04-22 04:26:26.939595  1587529586.939595  11.753055555555555  -0.22836111111109858  -2.099379868754898  0.8633763614602383  -1.4643646184057584 
 2020-04-22 04:41:26.939595  1587530486.939595  12.003055555555555  -0.5021388888888509  -2.1215904018762277  0.46996791219404166  -2.153761378571037 
