 original 
 index ; minp_thrm_can_be_put_in, maxp_thrm_can_be_put_in, minp_thrm_left_in_tank, maxp_thrm_left_in_tank
0      0.120      0.120        0.012        0.012
1      0.000      0.000        0.132        0.132
2      0.000      0.000        0.132        0.132
3      0.000      0.000        0.132        0.132
4      0.000      0.000        0.132        0.132
5      0.000     -0.000        0.132        0.132
6      0.000     -0.000        0.132        0.132
7      0.000     -0.000        0.132        0.132
8      0.000     -0.000        0.132        0.132
9      0.000     -0.000        0.132        0.132
10      0.000     -0.000        0.132        0.132
11      0.000     -0.000        0.132        0.132
12      0.000     -0.000        0.132        0.132
13      0.000     -0.000        0.132        0.132
14      0.000     -0.000        0.132        0.132
15      0.000     -0.000        0.132        0.132
16      0.000     -0.000        0.132        0.132
17      0.000     -0.000        0.132        0.132
18      0.000     -0.000        0.132        0.132
19      0.000     -0.000        0.132        0.132
20      0.000     -0.000        0.132        0.132
21      0.000     -0.000        0.132        0.132
22      0.000     -0.000        0.132        0.132
23      0.000     -0.000        0.132        0.132
24      0.000     -0.000        0.132        0.132
25      0.000     -0.000        0.132        0.132
26      0.000     -0.001        0.132        0.132
27      0.000     -0.001        0.132        0.132
28      0.000     -0.001        0.132        0.133
29      0.000     -0.001        0.132        0.133
30      0.000     -0.001        0.132        0.133
31      0.000     -0.001        0.132        0.133
32      0.000     -0.001        0.132        0.133
33      0.000     -0.001        0.132        0.133
34      0.000     -0.001        0.132        0.133
35      0.000     -0.001        0.132        0.132
36      0.000     -0.001        0.132        0.132
37      0.000     -0.000        0.132        0.132
38      0.000     -0.000        0.132        0.132
39      0.000     -0.000        0.132        0.132
40      0.000     -0.000        0.132        0.132
41      0.000     -0.000        0.132        0.132
42      0.000     -0.000        0.132        0.132
43      0.000     -0.000        0.132        0.132
44      0.000     -0.000        0.132        0.132
45      0.000     -0.000        0.132        0.132
46      0.000     -0.000        0.132        0.132
47      0.000     -0.000        0.132        0.132
48      0.000     -0.000        0.132        0.132
49      0.000     -0.000        0.132        0.132
50      0.000     -0.000        0.132        0.132
51      0.000     -0.000        0.132        0.132
52      0.000     -0.000        0.132        0.132
53      0.000     -0.000        0.132        0.132
54      0.000     -0.000        0.132        0.132
55      0.000     -0.000        0.132        0.132
56      0.000     -0.000        0.132        0.132
57      0.000     -0.000        0.132        0.132
58      0.000     -0.000        0.132        0.132
59      0.000     -0.000        0.132        0.132
60      0.000     -0.000        0.132        0.132
61      0.000     -0.000        0.132        0.132
62      0.000     -0.000        0.132        0.132
63      0.000     -0.000        0.132        0.132
64      0.000     -0.000        0.132        0.132
65      0.000     -0.000        0.132        0.132
66      0.000     -0.000        0.132        0.132
67      0.000     -0.000        0.132        0.132
68      0.000     -0.000        0.132        0.132
69      0.000     -0.000        0.132        0.132
70      0.000     -0.000        0.132        0.132
71      0.000     -0.000        0.132        0.132
72      0.000     -0.000        0.132        0.132
73      0.000     -0.000        0.132        0.132
74      0.000     -0.000        0.132        0.132
75      0.000     -0.000        0.132        0.132
76      0.000     -0.001        0.132        0.132
77      0.000     -0.001        0.132        0.132
78      0.000     -0.001        0.132        0.133
79      0.000     -0.001        0.132        0.133
80      0.000     -0.001        0.132        0.132
81      0.000     -0.001        0.132        0.132
82      0.000     -0.001        0.132        0.132
83      0.000     -0.001        0.132        0.132
84      0.000     -0.001        0.132        0.132
85      0.000     -0.001        0.132        0.132
86      0.000     -0.001        0.132        0.132
87      0.000     -0.001        0.132        0.132
88      0.000     -0.001        0.132        0.132
89      0.000     -0.000        0.132        0.132
90      0.000     -0.000        0.132        0.132
91      0.000     -0.000        0.132        0.132
92      0.000     -0.000        0.132        0.132
93      0.000     -0.000        0.132        0.132
94      0.000     -0.000        0.132        0.132
95      0.000     -0.000        0.132        0.132
96      0.000     -0.000        0.132        0.132
97      0.000     -0.000        0.132        0.132
98      0.000     -0.000        0.132        0.132
99      0.000     -0.000        0.132        0.132
100      0.000     -0.000        0.132        0.132
101      0.000     -0.000        0.132        0.132
102      0.000     -0.000        0.132        0.132
103      0.000     -0.000        0.132        0.132
104      0.000     -0.000        0.132        0.132
105      0.000     -0.000        0.132        0.132
106      0.000     -0.000        0.132        0.132
107      0.000     -0.000        0.132        0.132
108      0.000     -0.000        0.132        0.132
109      0.000     -0.000        0.132        0.132
110      0.000     -0.000        0.132        0.132
111      0.000     -0.000        0.132        0.132
112      0.000     -0.000        0.132        0.132
113      0.000     -0.000        0.132        0.132
114      0.000     -0.000        0.132        0.132
115      0.000     -0.001        0.132        0.132
116      0.000     -0.001        0.132        0.132
117      0.000     -0.001        0.132        0.132
118      0.000     -0.001        0.132        0.132
119      0.000     -0.001        0.132        0.133
120      0.000     -0.001        0.132        0.133
121      0.000     -0.001        0.132        0.133
122      0.000     -0.001        0.132        0.132
123      0.000     -0.001        0.132        0.132
124      0.000     -0.000        0.132        0.132
125      0.000     -0.000        0.132        0.132
126      0.000     -0.000        0.132        0.132
127      0.000     -0.000        0.132        0.132
128      0.000     -0.000        0.132        0.132
129      0.000     -0.000        0.132        0.132
130      0.000     -0.000        0.132        0.132
131      0.000     -0.000        0.132        0.132
132      0.000     -0.000        0.132        0.132
133      0.000     -0.000        0.132        0.132
134      0.000     -0.000        0.132        0.132
135      0.000     -0.000        0.132        0.132
136      0.000     -0.000        0.132        0.132
137      0.000     -0.000        0.132        0.132
138      0.000     -0.000        0.132        0.132
139      0.000     -0.000        0.132        0.132
140      0.000     -0.000        0.132        0.132
141      0.000     -0.000        0.132        0.132
142      0.000     -0.000        0.132        0.132
143      0.000     -0.000        0.132        0.132
