1    2.59%    5.272100191904
2    2.66%    5.4145893885200005
3    2.70%    5.496011783626001
4    2.91%    5.923479373474
5    3.52%    7.165170924742999
6    5.09%    10.361
7    5.04%    10.259222000937001
8    4.76%    9.689265224834001
9    4.86%    9.89282122296
10    4.78%    9.729976422387
11    4.64%    9.444998039516
12    4.52%    9.200730843837
13    4.48%    9.119308448731
14    4.39%    8.936108054562
15    4.37%    8.895396857009
16    4.41%    8.976819252115
17    4.59%    9.343220040453
18    4.73%    9.628198423324001
19    4.79%    9.750332026344001
20    4.76%    9.689265224834001
21    4.62%    9.404286841963
22    4.23%    8.610418463777
23    3.78%    7.694416503293
24    2.78%    5.6588565841989995
